	PS42	PS43	PS86	PS81	PS87	PS80	PS41	PS28	PS48	PS83	PS79	PS76	PS78	X2310	X239	X237	PS12	PS94	PS82	PS59	PS67	PS84	PS91	PS15	PS56	PS77	PS36	PS95	PS60	PS24	PS19	PS26	PS21	PS72	X238	PS70	PS31	PS62	PS20	PS75	PS17	PS38	PS68	PS34	PS30	PS35	PS29	PS32	PS63	PS96	PS64	PS58	PS71	PS52	PS44	PS37	PS57	PS92	PS73	PS27	PS23	PS69	PS51	PS50	PS74	PS40	PS65	PS66	PS93	PS13	PS11	PS39	PS90	PS54	PS55	PS33	PS53	PS47	PS89	PS88	PS49	PS18	PS14	PS16	PS22	PS46	PS25	PS85	PS45
OTU_0	1747	1197	875	5371	9	117	2	1	26	532	142	1	13	49	13	10	10	7	21	22	18	7	11	1	2	1	4	21	6	1	2	2	1	2	7	1	4	2	1	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2	10	4	7	8	6	2	55	8	8	22	2	33	8	7	2	1	24	26	41	4	20	6	8	2	38	10	12	11	9	1	131	10	5	17	16	251	19	12	95	33	15	30	32	119	59	231	71	20	34	69	38	70	42	21	21	51	56	13	30	38	19	38	14	3	17	139	10	19	59	32	14	39	25	95	89	16	4	5	42	11	7	7	1	3	2	1	1	0	0
OTU_10	0	0	0	0	0	0	2	0	0	2	2	7	1	0	0	0	6	3	1	0	3	0	0	1	2	2	0	0	0	1	4	0	1	0	0	1	0	4	4	1	0	3	4	12	0	4	3	0	1	1	10	2	0	0	7	3	7	0	2	3	3	2	0	0	0	14	0	4	0	10	75	3	0	1	5	0	0	0	0	1	0	0	3	4	3	0	2	0	0
OTU_11	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	103	0	0	0	0	0	0	0	4	0	0	0	0	0	44	2	0	0	0	0	0	0	0	0	163	0	0	0	0	0	85	0	16	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_13	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	85	0	5	0	0	0	0	0	13	0	8	0	0	0	0	4	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	5	0	0	0	0	0	0	0	0	0	0	10	0	8	1	0	4	0	0
OTU_15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0
OTU_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_23	0	0	0	1	6	4	35	3	23	2	0	3	0	4	1	0	168	2	8	0	0	0	0	58	0	4	16	0	0	24	111	3	45	7	2	22	7	1	275	20	34	20	0	33	11	59	43	16	1	0	4	4	0	2	39	11	3	0	3	13	33	14	58	1	7	157	0	4	2	421	339	7	0	10	34	0	0	1	8	7	5	105	44	17	24	0	33	0	0
OTU_24	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_29	0	0	0	0	9	0	1	1	2	0	0	0	0	3	1	0	22	4	18	0	5	0	0	28	0	0	0	0	0	5	0	2	6	3	0	8	2	7	9	1	0	3	4	22	0	45	4	8	2	1	1	2	11	20	2	1	1	8	0	1	6	4	3	1	0	13	0	0	15	7	57	1	0	4	8	0	1	0	58	4	0	1	5	2	4	2	12	1	0
OTU_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_39	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_46	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	1	0	0	0	0	4	0	5	0	0	2	0	1	0	0	0	0	0	0	4	2	0	0	0	0	0	0	4	1	0	3	0	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0
OTU_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_53	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	28	0	0	0	0	0	0	2	1	0	0	0	0	1	8	3	9	1	0	0	0	0	10	0	1	0	0	4	2	10	0	2	0	0	1	5	0	0	1	0	1	0	2	8	4	2	0	0	0	6	0	0	1	42	21	0	0	0	1	0	0	0	0	0	0	1	0	1	3	0	2	0	0
OTU_54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
